Title,atom,epub,epub-2,epub-3,htmlz,mobi,odt,pdf,pdf-a4,pdf-a5,pdf-a6,pdf-letter,rtf,txt,xhtml,Total
సమాచార_హక్కు_చట్టం_2005,0,0,0,98,0,0,0,0,0,14,0,0,102,0,0,214
నా_జీవిత_యాత్ర-1,0,0,0,100,0,0,0,0,0,7,0,0,41,0,0,148
ఆంధ్రుల_సాంఘిక_చరిత్ర,0,0,0,55,0,0,0,0,0,0,0,0,22,0,0,77
అబద్ధాల_వేట_-_నిజాల_బాట,0,0,0,53,0,0,0,0,0,0,0,0,14,0,0,67
చిన్ననాటి_ముచ్చట్లు,0,0,0,49,0,0,0,0,0,0,0,0,4,0,0,53
దేవాలయాల_మీద_బూతు_బొమ్మలెందుకు?,0,0,0,21,0,0,0,0,0,8,0,0,19,0,0,48
రాజశేఖర_చరిత్రము_(ఎమెస్కో),0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,35
మహేంద్రజాలం,0,0,0,20,0,0,0,0,0,0,0,0,11,0,0,31
పోతన_తెలుగు_భాగవతము,0,0,0,21,0,0,0,0,0,0,0,0,6,0,0,27
సంపూర్ణ_నీతిచంద్రిక,0,0,0,19,0,0,0,0,0,1,0,0,7,0,0,27
తెలుగువారి_జానపద_కళారూపాలు,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
నా_కలం_-_నా_గళం,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,20
సుప్రసిద్ధుల_జీవిత_విశేషాలు,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,20
శివతాండవము,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,18
ఆంధ్రుల_చరిత్రము_-_ప్రథమ_భాగము,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,17
మన_జీవితాలు_-_జిడ్డు_కృష్ణమూర్తి_వ్యాఖ్యానాలు,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,15
జ్యోతిష్య_శాస్త్రము,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,13
ప్రాణాయామము,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,11
వేమన,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9
ఆంధ్ర_రచయితలు,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,8
లిటిల్_మాస్టర్స్_సులభ_వ్యాకరణము,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,8
నా_జీవిత_యాత్ర-4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,7
వికీపీడియాలో_రచనలు_చేయుట,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,7
శ్రీ_వేమనయోగి_జీవితము,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,7
ఆంధ్ర_గుహాలయాలు,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,6
నా_జీవిత_యాత్ర-2,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,6
నా_జీవిత_యాత్ర-3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,6
ఆబ్రహాము_లింకను_చరిత్ర,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5
మారిషస్‌లో_తెలుగు_తేజం,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5
వికీపీడియా_స్వయంశిక్షణ,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,5
స్వీయ_చరిత్రము_-_ప్రథమ_భాగము,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4
కృషీవలుడు,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
గుత్తా,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
దేశభక్త_కొండ_వేంకటప్పయ్య_పంతులు_స్వీయచరిత్ర,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
నానకు_చరిత్ర,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3
సి.నా.రె._శతకం,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
కుటుంబ_నియంత్రణ_పద్ధతులు,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
బొల్లిని_మునుస్వామి_నాయుడు_గారియొక్క_జీవిత_చరిత్రము,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
సుమిత్ర_చరిత్రము,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
భారత_అర్థశాస్త్రము,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
వేదము_వేంకటరాయ_శాస్త్రులవారి_జీవితచరిత్ర_సంగ్రహము,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
